ItemId,SeriesId,IsCollection
57797,,1
57798,,1
57999,,1
57812,,1
59971,,1
59972,,1
58190,,1
58191,,1
58192,,1
58193,,1
58206,,1
58208,,1
58438,,1
59974,,1
59976,,1
59978,,1
58798,,1
59979,,1
59980,,1
59981,,1
59982,,1
59983,,1
59986,,1
58917,,1
58993,,1
59992,,1
59996,,1
59997,,1
62000,,1
63926,,1
63930,,1
62417,,1
63931,,1
62437,,1
62438,,1
62439,,1
62441,,1
62479,,1
63933,,1
63934,,1
63935,,1
63936,,1
63937,,1
63938,,1
63939,,1
63941,,1
62505,,1
63944,,1
63947,,1
62518,,1
63948,,1
63949,,1
63950,,1
62534,,1
62535,,1
63956,,1
63957,,1
62572,,1
63958,,1
63959,,1
62577,,1
62578,,1
62579,,1
62580,,1
62581,,1
62582,,1
62583,,1
62584,,1
62585,,1
63960,,1
63961,,1
63962,,1
63965,,1
62614,,1
63967,,1
63970,,1
63971,,1
62632,,1
62661,,1
62678,,1
62685,,1
62704,,1
62705,,1
63980,,1
62711,,1
63981,,1
62717,,1
62719,,1
62731,,1
62733,,1
62734,,1
62736,,1
62743,,1
62744,,1
62771,,1
62774,,1
62804,,1
62807,,1
62815,,1
62816,,1
62833,,1
62834,,1
62820,,1
62829,,1
62830,,1
62831,,1
62832,,1
62873,,1
62874,,1
62875,,1
62876,,1
62878,,1
62881,,1
62884,,1
63983,,1
62843,,1
62846,,1
62854,,1
62858,,1
62871,,1
62887,,1
62897,,1
62898,,1
62899,,1
62901,,1
62903,,1
62904,,1
62906,,1
62907,,1
62914,,1
62916,,1
62917,,1
62918,,1
63992,,1
63121,,1
63147,,1
63148,,1
63168,,1
63993,,1
63278,,1
63279,,1
63458,,1
63787,,1
63804,,1
63882,,1
63999,,1
63916,,1
64013,,1
64015,,1
65966,,1
65967,,1
65968,,1
64067,,1
64068,,1
64101,,1
65970,,1
64176,,1
64206,,1
64213,,1
64215,,1
64585,,1
65975,,1
64259,,1
65977,,1
65978,,1
64583,,1
64584,,1
64598,,1
64600,,1
64604,,1
64608,,1
64614,,1
64615,,1
65980,,1
64876,,1
65987,,1
65512,,1
65534,,1
65544,,1
65573,,1
65589,,1
65990,,1
65991,,1
65835,,1
65836,,1
65841,,1
65995,,1
65843,,1
65997,,1
65857,,1
65858,,1
65861,,1
65862,,1
65864,,1
65999,,1
66124,,1
67973,,1
66153,,1
67977,,1
66466,,1
66469,,1
67012,,1
67441,,1
67325,,1
67503,,1
67993,,1
67557,,1
67994,,1
67995,,1
67996,,1
67565,,1
67571,,1
67572,,1
67577,,1
67997,,1
68035,,1
68031,,1
69947,,1
68323,,1
69950,,1
69952,,1
68428,,1
68429,,1
69956,,1
69957,,1
68471,,1
68779,,1
69961,,1
68827,,1
69967,,1
69969,,1
69970,,1
69195,,1
69973,,1
69277,,1
69278,,1
69976,,1
69977,,1
69645,,1
69704,,1
69989,,1
69764,,1
69760,,1
69991,,1
69786,,1
69992,,1
69797,,1
69799,,1
69847,,1
69999,,1
70007,,1
70054,,1
70065,,1
70066,,1
71989,,1
70079,,1
70081,,1
70084,,1
71990,,1
70101,,1
71993,,1
70379,,1
70489,,1
70490,,1
70491,,1
70502,,1
73987,,1
72593,,1
72594,,1
73971,,1
73972,,1
72703,,1
72722,,1
73974,,1
72726,,1
72748,,1
72752,,1
72753,,1
72755,,1
72762,,1
72795,,1
72797,,1
72798,,1
72799,,1
72800,,1
72802,,1
73978,,1
72806,,1
72832,,1
72840,,1
72841,,1
72846,,1
72847,,1
72909,,1
72886,,1
72887,,1
72910,,1
72923,,1
72934,,1
73983,,1
72937,,1
72938,,1
73139,,1
73140,,1
73990,,1
73194,,1
73210,,1
73991,,1
73404,,1
73428,,1
73544,,1
73996,,1
73999,,1
74312,,1
74390,,1
74391,,1
74488,,1
74502,,1
74531,,1
74532,,1
74583,,1
74604,,1
75978,,1
74655,,1
75981,,1
74818,,1
74819,,1
75985,,1
75986,,1
75987,,1
75988,,1
75994,,1
75354,,1
75998,,1
75822,,1
76155,,1
77924,,1
76273,,1
76312,,1
77928,,1
76322,,1
77930,,1
76326,,1
76327,,1
76328,,1
76332,,1
76334,,1
76338,,1
77934,,1
77936,,1
76364,,1
76365,,1
76345,,1
76363,,1
76369,,1
77937,,1
77938,,1
76518,,1
76519,,1
76542,,1
77941,,1
14247,,1
13828,,1
13829,,1
12812,,1
13838,,1
13840,,1
12889,,1
13845,,1
13849,,1
13850,,1
