# arcade-merge-cards reviewed pairs — generated 2026-08-19
# system	srcCollapseKey	dstCollapseKey	signals	# srcTitle => dstTitle
genesis	sanguozhiliezhuanluanshiqunying	sangokushiretsudenranseinoeiyuutachi	lb-alias	# San Guo Zhi Lie Zhuan - Luan Shi Qun Ying => Sangokushi Retsuden - Ransei no Eiyuutachi
genesis	sdvalis	sydofvalis	lb-alias,ra	# SD Valis => Syd of Valis
genesis	shijousaidainosoukoban	shoveitwarehousegame	lb-alias	# Shijou Saidai no Soukoban => Shove It! ...The Warehouse Game
genesis	shininganddarkness	shiningindarkness	lb-alias	# Shining and the Darkness => Shining in the Darkness
genesis	shiningforceiiinishienofuuin	shiningforceii	lb-alias	# Shining Force II - Inishie no Fuuin => Shining Force II
genesis	shiningforcekamigaminoisan	shiningforce	lb-alias	# Shining Force - Kamigami no Isan => Shining Force
genesis	shinomeikyuulabyrinthofdeath	fatallabyrinth	lb-alias,ra	# Shi no Meikyuu - Labyrinth of Death => Fatal Labyrinth
genesis	shinsouseikiragnacenty	crusaderofcenty	lb-alias	# Shin Souseiki Ragnacenty => Crusader of Centy
genesis	shitenmyouou	shadowblasters	lb-alias	# Shiten Myouou => Shadow Blasters
genesis	sonic3dblastsonic3dflickiesisland	sonic3dblast	ra	# Sonic 3D Blast ~ Sonic 3D Flickies' Island => Sonic 3D Blast
genesis	sorcerkingdom	sorcererskingdom	lb-alias	# Sorcer Kingdom => Sorcerer's Kingdom
genesis	spacefunkybob	bob	lb-alias	# Space Funky B.O.B. => B.O.B.
genesis	speedball2	speedball2brutaldeluxe	igdb,lb-alias	# Speedball 2 => Speedball 2 - Brutal Deluxe
genesis	splatterhousepart2	splatterhouse2	lb-alias	# Splatterhouse Part 2 => Splatterhouse 2
genesis	splatterhousepart3	splatterhouse3	lb-alias,ra	# Splatterhouse Part 3 => Splatterhouse 3
genesis	storyofthor	beyondoasis	lb-alias,ra	# The Story of Thor => Beyond Oasis
genesis	storyofthorhikariotsugumono	beyondoasis	lb-alias	# Story of Thor, The - Hikari o Tsugumono => Beyond Oasis
genesis	streetfighteriipluschampionedition	streetfighteriispecialchampionedition	lb-alias	# Street Fighter II' Plus - Champion Edition => Street Fighter II' - Special Champion Edition
genesis	talmitsadventure	marvelland	lb-alias	# Talmit's Adventure => Marvel Land
genesis	teenagemutantheroturtleshyperstoneheist	teenagemutantninjaturtleshyperstoneheist	lb-alias,ra	# Teenage Mutant Hero Turtles - The Hyperstone Heist => Teenage Mutant Ninja Turtles - The Hyperstone Heist
genesis	teenagemutantheroturtlestournamentfighters	teenagemutantninjaturtlestournamentfighters	lb-alias	# Teenage Mutant Hero Turtles - Tournament Fighters => Teenage Mutant Ninja Turtles - Tournament Fighters
genesis	teenagemutantninjaturtlesreturnofshredder	teenagemutantheroturtleshyperstoneheist	ra	# Teenage Mutant Ninja Turtles - Return of the Shredder => Teenage Mutant Hero Turtles - The Hyperstone Heist
genesis	teitokunoketsudan	ptopacifictheaterofoperations	lb-alias	# Teitoku no Ketsudan => P.T.O. - Pacific Theater of Operations
genesis	thunderforceiimd	thunderforceii	lb-alias,ra	# Thunder Force II MD => Thunder Force II
genesis	timedominator1st	socket	lb-alias	# Time Dominator 1st => Socket
